Time [s],PALE,PDATA,PCLK,DCLK,DDATA,Channel 5,Channel 6,Channel 7
-2.875533250,1,0,0,0,0,1,1,1
-1.066130875,1,0,0,1,0,1,1,1
-1.066127250,1,0,0,0,0,1,1,1
-1.066123000,1,0,0,1,0,1,1,1
-1.066118625,1,0,0,1,1,1,1,1
-1.066116500,1,0,0,0,1,1,1,1
-1.066109875,1,0,0,1,1,1,1,1
-1.066103375,1,0,0,0,1,1,1,1
-1.066096875,1,0,0,1,1,1,1,1
-1.066090375,1,0,0,0,1,1,1,1
-1.066086000,1,0,0,1,1,1,1,1
-1.066081750,1,0,0,1,0,1,1,1
-1.066079500,1,0,0,0,0,1,1,1
-1.066075250,1,0,0,1,0,1,1,1
-1.066070875,1,0,0,1,1,1,1,1
-1.066068750,1,0,0,0,1,1,1,1
-1.066064375,1,0,0,1,1,1,1,1
-1.066060000,1,0,0,1,0,1,1,1
-1.066057875,1,0,0,0,0,1,1,1
-1.066051375,1,0,0,1,0,1,1,1
-1.066044875,1,0,0,0,0,1,1,1
-1.066038250,1,0,0,1,0,1,1,1
-1.066034000,1,0,0,1,1,1,1,1
-1.066031750,1,0,0,0,1,1,1,1
-1.066025250,1,0,0,1,1,1,1,1
-1.066018750,1,0,0,0,1,1,1,1
-1.066010125,1,0,0,1,1,1,1,1
-1.066003625,1,0,0,0,1,1,1,1
-1.065999250,1,0,0,1,1,1,1,1
-1.065994875,1,0,0,1,0,1,1,1
-1.065992750,1,0,0,0,0,1,1,1
-1.065986250,1,0,0,1,0,1,1,1
-1.065979750,1,0,0,0,0,1,1,1
-1.065973125,1,0,0,1,0,1,1,1
-1.065966625,1,0,0,0,0,1,1,1
-1.065960125,1,0,0,1,0,1,1,1
-1.065953625,1,0,0,0,0,1,1,1
-1.065947125,1,0,0,1,0,1,1,1
-1.065942750,1,0,0,1,1,1,1,1
-1.065940625,1,0,0,0,1,1,1,1
-1.065934125,1,0,0,1,1,1,1,1
-1.065929750,1,0,0,1,0,1,1,1
-1.065927625,1,0,0,0,0,1,1,1
-1.065921125,1,0,0,1,0,1,1,1
-1.065914625,1,0,0,0,0,1,1,1
-1.065908000,1,0,0,1,0,1,1,1
-1.065901500,1,0,0,0,0,1,1,1
-1.065895000,1,0,0,1,0,1,1,1
-1.065888500,1,0,0,0,0,1,1,1
-1.065882000,1,0,0,1,0,1,1,1
-1.065875500,1,0,0,0,0,1,1,1
-1.065869000,1,0,0,1,0,1,1,1
-1.065862500,1,0,0,0,0,1,1,1
-1.065856000,1,0,0,1,0,1,1,1
-1.065849500,1,0,0,0,0,1,1,1
-1.065845125,1,0,0,1,0,1,1,1
-1.065840750,1,0,0,1,1,1,1,1
-1.065838625,1,0,0,0,1,1,1,1
-1.065832125,1,0,0,1,1,1,1,1
-1.065827750,1,0,0,1,0,1,1,1
-1.065825625,1,0,0,0,0,1,1,1
-1.065816875,1,0,0,1,0,1,1,1
-1.065812500,1,0,0,1,1,1,1,1
-1.065810375,1,0,0,0,1,1,1,1
-1.065803875,1,0,0,1,1,1,1,1
-1.065797375,1,0,0,0,1,1,1,1
-1.065790875,1,0,0,1,1,1,1,1
-1.065784375,1,0,0,0,1,1,1,1
-1.065777750,1,0,0,1,1,1,1,1
-1.065771250,1,0,0,0,1,1,1,1
-1.065767000,1,0,0,1,1,1,1,1
-1.065762625,1,0,0,1,0,1,1,1
-1.065760500,1,0,0,0,0,1,1,1
-1.065753875,1,0,0,1,0,1,1,1
-1.065749625,1,0,0,1,1,1,1,1
-1.065747375,1,0,0,0,1,1,1,1
-1.065738750,1,0,0,1,1,1,1,1
-1.065734375,1,0,0,1,0,1,1,1
-1.065732250,1,0,0,0,0,1,1,1
-1.065725750,1,0,0,1,0,1,1,1
-1.065721375,1,0,0,1,1,1,1,1
-1.065719250,1,0,0,0,1,1,1,1
-1.065712750,1,0,0,1,1,1,1,1
-1.065706125,1,0,0,0,1,1,1,1
-1.065701875,1,0,0,1,1,1,1,1
-1.065697500,1,0,0,1,0,1,1,1
-1.065695375,1,0,0,0,0,1,1,1
-1.065688750,1,0,0,1,0,1,1,1
-1.065682250,1,0,0,0,0,1,1,1
-1.065675750,1,0,0,1,0,1,1,1
-1.065669250,1,0,0,0,0,1,1,1
-1.065664875,1,0,0,1,0,1,1,1
-1.065660625,1,0,0,1,1,1,1,1
-1.065658375,1,0,0,0,1,1,1,1
-1.065651875,1,0,0,1,1,1,1,1
-1.065645375,1,0,0,0,1,1,1,1
-1.065638875,1,0,0,1,1,1,1,1
-1.065632375,1,0,0,0,1,1,1,1
-1.065625875,1,0,0,1,1,1,1,1
-1.065619375,1,0,0,0,1,1,1,1
-1.065612875,1,0,0,1,1,1,1,1
-1.065606375,1,0,0,0,1,1,1,1
-1.065599750,1,0,0,1,1,1,1,1
-1.065593250,1,0,0,0,1,1,1,1
-1.065586750,1,0,0,1,1,1,1,1
-1.065582500,1,0,0,1,0,1,1,1
-1.065580250,1,0,0,0,0,1,1,1
-1.065571625,1,0,0,1,0,1,1,1
-1.065567250,1,0,0,1,1,1,1,1
-1.065565125,1,0,0,0,1,1,1,1
-1.065556375,1,0,0,1,1,1,1,1
-1.065552000,1,0,0,1,0,1,1,1
-1.065549875,1,0,0,0,0,1,1,1
-1.065543375,1,0,0,1,0,1,1,1
-1.065536875,1,0,0,0,0,1,1,1
-1.065530375,1,0,0,1,0,1,1,1
-1.065523875,1,0,0,0,0,1,1,1
-1.065517375,1,0,0,1,0,1,1,1
-1.065510750,1,0,0,0,0,1,1,1
-1.065504250,1,0,0,1,0,1,1,1
-1.065497750,1,0,0,0,0,1,1,1
-1.065491250,1,0,0,1,0,1,1,1
-1.065484750,1,0,0,0,0,1,1,1
-1.065478250,1,0,0,1,0,1,1,1
-1.065471750,1,0,0,0,0,1,1,1
-1.065465250,1,0,0,1,0,1,1,1
-1.065458750,1,0,0,0,0,1,1,1
-1.065452250,1,0,0,1,0,1,1,1
-1.065447875,1,0,0,1,1,1,1,1
-1.065445750,1,0,0,0,1,1,1,1
-1.065439125,1,0,0,1,1,1,1,1
-1.065432625,1,0,0,0,1,1,1,1
-1.065428375,1,0,0,1,1,1,1,1
-1.065424000,1,0,0,1,0,1,1,1
-1.065421750,1,0,0,0,0,1,1,1
-1.065417500,1,0,0,1,0,1,1,1
-1.065413125,1,0,0,1,1,1,1,1
-1.065411000,1,0,0,0,1,1,1,1
-1.065404500,1,0,0,1,1,1,1,1
-1.065397875,1,0,0,0,1,1,1,1
-1.065393625,1,0,0,1,1,1,1,1
-1.065387125,1,0,0,0,1,1,1,1
-1.065378375,1,0,0,1,1,1,1,1
-1.065371875,1,0,0,0,1,1,1,1
-1.065365375,1,0,0,1,1,1,1,1
-1.065358875,1,0,0,0,1,1,1,1
-1.065352375,1,0,0,1,1,1,1,1
-1.065345875,1,0,0,0,1,1,1,1
-1.065339375,1,0,0,1,1,1,1,1
-1.065332750,1,0,0,0,1,1,1,1
-1.065328500,1,0,0,1,1,1,1,1
-1.065324125,1,0,0,1,0,1,1,1
-1.065322000,1,0,0,0,0,1,1,1
-1.065315500,1,0,0,1,0,1,1,1
-1.065308875,1,0,0,0,0,1,1,1
-1.065302375,1,0,0,1,0,1,1,1
-1.065295875,1,0,0,0,0,1,1,1
-1.065291625,1,0,0,1,0,1,1,1
-1.065287250,1,0,0,1,1,1,1,1
-1.065285000,1,0,0,0,1,1,1,1
-1.065278500,1,0,0,1,1,1,1,1
