Time [s],PALE,PDATA,PCLK,DCLK,DDATA,Channel 5,Channel 6,Channel 7
26.513721688,1,0,0,0,0,1,1,1
27.050884875,1,1,1,0,0,1,1,1
27.050887750,0,1,1,0,0,1,1,1
27.050889812,0,0,1,0,0,1,1,1
27.050890062,0,0,0,0,0,1,1,1
27.050890312,0,0,1,0,0,1,1,1
27.050890500,0,0,0,0,0,1,1,1
27.050890688,0,0,1,0,0,1,1,1
27.050890937,0,0,0,0,0,1,1,1
27.050891125,0,0,1,0,0,1,1,1
27.050891312,0,0,0,0,0,1,1,1
27.050891500,0,0,1,0,0,1,1,1
27.050891750,0,0,0,0,0,1,1,1
27.050891938,0,0,1,0,0,1,1,1
27.050892187,0,0,0,0,0,1,1,1
27.050892375,0,0,1,0,0,1,1,1
27.050892562,0,0,0,0,0,1,1,1
27.050892750,0,1,1,0,0,1,1,1
27.050893000,0,1,0,0,0,1,1,1
27.050893187,0,1,1,0,0,1,1,1
27.050898812,1,1,1,0,0,1,1,1
27.050900687,1,0,1,0,0,1,1,1
27.050900875,1,0,0,0,0,1,1,1
27.050901062,1,0,1,0,0,1,1,1
27.050901313,1,0,0,0,0,1,1,1
27.050901500,1,1,1,0,0,1,1,1
27.050901687,1,1,0,0,0,1,1,1
27.050901937,1,1,1,0,0,1,1,1
27.050902125,1,1,0,0,0,1,1,1
27.050902312,1,1,1,0,0,1,1,1
27.050902562,1,1,0,0,0,1,1,1
27.050902750,1,1,1,0,0,1,1,1
27.050902937,1,1,0,0,0,1,1,1
27.050903188,1,1,1,0,0,1,1,1
27.050903375,1,1,0,0,0,1,1,1
27.050903625,1,1,1,0,0,1,1,1
27.050903812,1,1,0,0,0,1,1,1
27.050904000,1,1,1,0,0,1,1,1
27.050909437,1,0,0,0,0,1,1,1
27.050921250,1,1,1,0,0,1,1,1
27.050924188,0,1,1,0,0,1,1,1
27.050926250,0,0,1,0,0,1,1,1
27.050926437,0,0,0,0,0,1,1,1
27.050926687,0,0,1,0,0,1,1,1
27.050926875,0,0,0,0,0,1,1,1
27.050927125,0,0,1,0,0,1,1,1
27.050927313,0,0,0,0,0,1,1,1
27.050927500,0,1,1,0,0,1,1,1
27.050927687,0,1,0,0,0,1,1,1
27.050927937,0,0,1,0,0,1,1,1
27.050928125,0,0,0,0,0,1,1,1
27.050928313,0,1,1,0,0,1,1,1
27.050928562,0,1,0,0,0,1,1,1
